㞮	shutsu sui
匢	kotsu kochi
匣	kou gou
匤	kyaku koku
匥	hen ben
匧	kyou
匨	zou
匩	kyou
匪	hi
匫	kotsu kochi
匬	yu tou zu
匭	ki
匯	wai kai e
匰	tan
匱	ki gi
匲	ren
匳	ren
匴	san sen
匵	toku doku
匷	kyo go
匸	kei
匹	hitsu hiki
区	ku ou kou
医	i
匼	an on
匽	en
匾	hen
匿	toku
區	ku ou kou
十	juu jitsu
卂	shin
千	sen
卄	juu nyuu
卅	sou
卆	sotsu
升	shou
午	go
卉	ki
半	han
卋	sei
卌	shuu
卍	ban man
卐	ban man
卑	hi
卒	sotsu
卓	taku
協	kyou
单	tan
南	nan dan
単	tan
卙	shou
博	haku baku
卛	shutsu
卜	boku
卝	kan kou ou
卞	hen han ben
占	sen
卡	sahu sa ka zou sou
卣	yuu yu
卤	sei
卥	sei
卦	ka ke
卨	setsu
卩	setsu
卬	gau kyau
卭	kyou
卮	shi
卯	bou
印	in
危	ki
卲	shou jou
即	soku shoku
却	kyaku
卵	ran kon
卷	kan ken
卸	sha
卹	jutsu shutsu shuchi sotsu
卺	kin
卻	kyaku
卼	gotsu gochi
卽	soku shoku
卾	gaku
卿	kyou kei
厀	shitsu
厂	kan
厃	sen gi en
厄	yaku ga aku
厇	taku chaku
厈	kan
厉	rei
厊	ka ge
压	atsu
厎	shi kii tou tei chi
厏	sa sha saku shou
厒	kahu kohu kehu
厓	gai ge gi
厔	shitsu shichi
厖	bou
厗	tei dai
厘	rin ten
厙	sha
厚	kou
厜	shi sui zui
厝	saku so seki jaku
厞	hi bi
原	gen
厠	shi
厡	gen
厤	reki ryaku
厥	ketsu kutsu
厦	ka
厧	ten
厨	zu chuu
厩	kyuu
厪	kin gon
厫	gou
厬	ki
厭	en ou you
厮	shi
厯	reki
厰	shou
厲	rei rai retsu rechi
厳	gen gon
厴	en
厵	gen
厶	shi bou mu
厷	kou
厸	rin
厹	jiu niyu kiu gu
厺	kyo ko
去	kyo ko
厽	rui san
叀	sen
叁	san
参	san shin
參	san
叄	san shin
叅	san
叆	ai
叇	tai
又	yuu
叉	sha sai sa
及	kyuu
友	yuu
双	sou
反	han tan hon
収	shuu
叏	kai ketsu kechi
叐	hatsu
叒	jaku nyaku
叓	shi zu
叔	shuku
叕	tetsu techi getsu
取	shu
受	ju shuu
变	hen
叙	jo
叚	ka ke ge
叛	han ban
叝	kou
叞	i
叟	sou shuu
叠	chou
叡	ei
叢	sou
口	kou ku
古	ko
句	ku kou
另	rei ryau
叧	ka ke
叨	tou
叩	kou
只	shi
叫	kyou
召	shou
叭	hatsu ha hachi
叮	tei
可	ka koku
台	dai tai i
叱	shitsu shichi
史	shi
右	u yuu
叵	ha
叶	kyou
号	gou
司	shi
叹	iu
叻	roku ryoku
叼	chou
吁	ku u
吂	bou mou
吃	kitsu
各	kaku
吅	ten kun sen shou ju rin
吆	you
合	gou katsu gatsu
吉	kichi kitsu
吊	chou
吋	sun tou
同	dou tou
名	mei myou
后	kou go
吏	ri
吐	to
向	kou kyou shou
吒	ta
吓	ka
吔	se
吕	ryo ro
吘	gou gu
吙	kuu
吚	i ki
君	kun
吜	chuu
吝	rin
吞	don ton ten
吟	gin kin
吠	hai bai
吡	hitsu bichi hi
吢	shin
吣	shin
吤	kai ke ka
吥	hou fu
否	hi
吧	ha he
吨	ton don
吩	fun
吪	guu ge
含	gan
听	kin gin
吭	kou
吮	sen shun
启	kei
吰	kou
吱	shi ki
吲	shin
吳	go
吴	go
吵	byou myou sou shou
吶	totsu dotsu
吷	ketsu kechi setsu sechi
吸	kyuu
吹	sui
吺	tou
吻	fun bun
吼	kou ku
吽	in gou un
吾	go
吿	koku kou
呀	ga ka
呁	kin
呂	ryo ro
呃	aku ai
呄	koku
呅	bai me bun mon
呆	bou gai hou
呇	kei
呈	tei
呉	go
告	koku kou
呋	fu
呌	kyou
呍	un gou on gu in
呎	seki
呏	shou
呐	totsu dotsu
呑	don ton ten
呞	shi chi
呟	gen
呠	hon
呡	bun mon
呢	ji ni
呣	bou
呤	rei ryou
呥	zen nen
呦	iu yu au eu
呧	tei tai dai
周	shuu
呩	shi
呪	ju shuu
呫	tehu sehu ten
呬	ki chi rei ryou
呭	ei setsu sechi
呮	ki
呯	hei byou
呰	shi sa seki
呱	ko
呲	shi ji i
味	mi bi
呴	ku kou
呵	ka
呶	do dou
呷	kou
呸	hi
呹	itsu chitsu
呺	kyou gou kou ku
呻	shin
呼	ko
命	mei myou
呾	tatsu tachi atsu echi techi
呿	ka kyo ko kyou kou
咀	so sho
咁	kan gan
咂	sou
咃	ta
咄	totsu
咅	tou
咆	hou
咇	hetsu bechi hitsu hichi hi bi
咈	futsu buchi hitsu bichi
咉	au
咊	wa
咋	saku sa
和	wa ka
咍	kai tai
咎	kyuu kou
咏	ei
咐	ho bu
咑	da
咒	shu shuu ju
咔	rou
咕	ko
咖	ka
咜	ta to
咟	kaku
咠	shuu yuu
咡	ji ni
咢	gaku
咣	kou
咤	ta to
咥	ki tetsu shi
咦	i ki tai dai
咧	retsu rechi
咨	shi
咩	bi mi
咪	bi bei
咫	shi
咬	kou gou you
咭	kitsu gichi katsu kechi
咮	tou tsu chuu shuu
咯	kaku
咰	shutsu shuchi shun
咱	satsu sachi sa sha
咲	shou
咳	gai
咴	kai ke
咵	kuu ke
咶	kuui ke kutsu kechi kuu ge shiji
咷	tau dou teu teki jiaku
咸	kan gen
咹	atsu achi an
咺	ken kuun
咻	ku kyou kou
咼	ka kai
咽	in etsu
咾	rou
咿	i
哀	ai
品	hin hon
哂	shin
哃	tou zu
哄	kou
哅	kou ku kyou
哆	shi ta sha
哇	ai e wa
哈	gou sou
哉	sai
哊	iku
哋	tetsu
响	kyou
哎	gai
哏	kon
哠	kou gou
員	in en
哢	rou
哤	bou mou
哥	ka
哦	ga
哧	ka ke seki
哨	shou
哩	ri
哪	da na
哫	shoku soku
哬	ka
哭	koku
哮	kou
哯	ken gen
哰	rou
哱	hotsu hochi hai he
哲	tetsu
哳	tatsu techi
哶	ba me bi mi
哷	retsu rechi ritsu richi
哸	sai se
哺	ho
哻	kan gan
哼	kou kyou
哽	kou
哾	yatsu yachi
哿	ka
唀	iu
唁	gen gon
唃	koku
唄	bai
唅	kan kon gon
唆	sa
唇	shin
唈	ou yuu
唉	kai ki ai i
唊	kyou kou ken
唋	to tsu
唌	sen zen tan dan en
唍	kan gen
唎	ri
唏	ki
唐	tou
唑	zei
唒	shuu juu
唔	go
唕	sou
唖	a
唗	tou
唘	kei
唙	teki
唚	shin
唝	kou ku
唡	ryou
唤	kan
唧	soku shoku
唪	hou ho bu
唫	gin gon kin
唬	ka ke kou gou kyou kaku kyaku
唭	ki
售	shuu
唯	yui i
唰	setsu sechi satsu
唱	shou
唲	ji ni ai
唳	rei
唴	kyou kou
唵	an on
唶	sha seki shaku saku
唷	yo
唸	ten
唹	yo
唻	rai
唼	sahu sehu
唽	seki shaku
唾	da
唿	kotsu kochi
啀	gai
啁	tou chou chuu shuu
啃	shuu
啄	taku
啅	taku tou
商	shou
啇	teki chaku seki
啈	kou kyou gatsu gachi satsu
啉	ran
啊	a
啋	kyou keki kyaku sai
啌	kou
啍	ton don shun tai te kyou kau
啎	go
問	mon bun
啐	sai se sa shutsu shuchi katsukachi
啑	sou shou
啒	kotsu kochi
啓	kei
啔	kei
啕	tou dou
啖	tan
啗	tan
啘	en setsu etsu
啙	shi sei zai ji seki kyou
啚	hi to
啛	sai se
啜	setsu tetsu
啝	ka wa
啞	a
啟	kei
啠	tetsu
啡	hai he hi
啢	ryou
啣	kan gan
啤	hi
啥	sha
啦	rahu rou
啮	gou
啯	kaku kyoku
啴	tan sen ta dan
啻	shi
啼	tei
啽	gan gon
啾	shuu
啿	tan don
喀	kaku
喁	gyou gu gou
喂	ki kai
喃	nan
善	zen
喆	tetsu
喇	ratsu ra
喈	kai
喉	kou
喊	kan
喋	chou tou
喌	shuku shuu
喍	sai ze
喎	ka
