㞮	shutsu sui
弰	sou shou
弱	jaku nyaku
弴	ton chou
張	chou
弶	gyau gau
強	kyou gou
弸	hou hyou
弹	dan tan
强	kyou gou
弻	hitsu
弼	hitsu
弽	you kyou
弾	dan tan
弿	ken kon
彀	kou ku
彁	sei
彂	hotsu hatsu
彃	hitsu hichi
彄	kou ku
彇	you
彈	dan
彉	kuwaku
彊	kyou gou
彋	kau gyau ko ku
彌	bi mi gei
彍	kuwaku
彎	wan
彏	kuwaku
彐	kei
彑	kei
当	tou
彔	roku
彖	tan shi
彗	sui kei e
彘	tei dei ei e
彙	i
彚	i
彛	i
彜	i
彝	i
彞	i
彟	kaku
彠	kuwaku waku kaku kyaku yaku
彡	san sen
形	kei gyou
彣	bun mon
彤	tou zu
彥	gen
彦	gen
彧	iku
彩	sai
彪	hyou hyuu
彫	chou
彬	hin
彭	hou
彯	heu beu
彰	shou sou
影	ei you
彲	chi
彳	teki
彴	shaku teki chaku haku baku
彵	ta
彶	kihu kohu
彷	hou
彸	shou shu
役	yaku eki
彺	ou
彼	hi
彽	chi ji tei tai de
彾	rei ryou
彿	futsu fuchi
往	ou
征	sei
徂	so
徃	ou
径	kei
待	tai dai
徆	sei sai
徇	shun jun
很	kon
徉	you
徊	kai e
律	ritsu richi
後	go kou
徍	ai a e
徏	choku
徐	jo
徑	kei
徒	to
従	juu shou ju
徖	sou su
得	toku
徘	hai
徙	shi
徛	ki
徜	shou jou
徝	chi choku chiki
從	juu shou ju
徠	rai
御	gyo go
徢	shou
徧	hen ben
徨	kou
復	fuku
循	jun
徫	i
徬	hou bou
徭	you
微	bi
徯	kei gei
徰	sei
徱	hyou
徳	toku
徴	chou chi
徵	chou chi
德	toku
徸	shou shu
徹	tetsu
徼	kyou gyou you
徽	ki
心	shin
必	hitsu
忇	roku
忈	jin nin
忉	tou
忋	kai gai
忌	ki
忍	nin
忐	kun kou kyou
忑	toku tou
忒	toku
忓	kan gan
忔	kitsu kochi gitsu gochi ki
忖	son
志	shi
忘	bou
忙	bou mou
応	ou you
忝	ten
忞	bin min bun mon
忠	chuu
忡	chuu chu shuu shu
忢	go
忤	go
忨	gan
忩	sou
忪	shou shu
快	kai
忬	yo sho
忭	hen ben
忮	shi ki gi
忯	ki gi shi ji
忰	sui
忱	shin
忲	tai
忳	ton don shun
念	nen
忶	kon gon un
忷	kyou
忸	jiku juu
忺	ken kon
忻	kin
忼	kou hou hyou
忽	kotsu
忿	fun
怇	kyo go kyou
怊	chou shou
怍	saku zaku sa ja
怎	shin so
怏	you
怐	kou ku ko
怒	do nu
怓	dou nyou nyu
怔	sei shou
怕	ha haku
怖	fu ho
怗	chou ten sen
怘	ko ku
怙	ko
怚	sho jo so
怛	datsu tatsu
怜	rei ryou ren
思	shi
怟	tei tai
怠	tai
怡	i
怤	fu
急	kyuu
怦	hou hyou
性	sei shou
怨	en on un
怩	ji dei ni
怪	kai
怫	futsu hi hai
怭	hitsu bichi
怯	kyou
怱	sou su
怳	kyou chutsu shutsu
怵	jutsu chutsu shutsu shuchi
恀	shi
恁	in jin nin
恂	jun shun
恃	ji shi
恆	kou
恇	kyou kou
恈	bou mu
恉	shi
恊	kyou
恋	ren
恌	chou you
恍	kou
恐	kyou
恑	ki gi
恒	kou
恔	kyou kou
恕	jo sho
恖	shi
恗	ko ku ka ke
恙	you
恚	i
恝	kai katsu kechi
恟	kyou
恠	kai ke
恡	rin
恢	kai
恣	shi
恤	jutsu shutsu
恥	chi
恧	jiku niku joku nyoku
恨	kon
恩	on
恪	kaku
恫	dou tou
恬	ten
恭	kyou
息	soku
恰	kou katsu
恱	etsu
恵	kei e
恷	kyuu
恾	bou mou
恿	you yu tou tsu
悁	en ken
悂	hi hei
悃	kon
悄	shou
悅	etsu
悆	yo sho so
悈	kai kyoku koku kaku
悉	shitsu
悊	tetsu techi
悋	rin
悌	tei
悍	kan
悎	kou gou koku kaku kyou
悑	ho
悒	yuu
悓	ken
悔	kai
悕	ki ke
悖	hai botsu
悗	ban
悘	i ei
悚	shou
悛	sen shun
悝	kai ri
悞	go
悟	go
悠	yuu
悢	ryou kou
患	kan gen
悤	sou
悥	yoku
悦	etsu
悧	ri
您	ji
悩	nou
悪	aku o
悰	sou zu
悱	hi
悲	hi
悳	toku
悴	sui
悵	chou
悶	mon
悷	rei rai ri
悸	ki gi
悻	kei gyou kou
悼	tou
悽	sei
悾	kou ku
惂	kan kon
惄	deki
情	jou sei
惆	chuu
惇	ton jun
惈	ka
惉	sen
惊	ryou
惋	wan
惎	ki gi
惏	ran rin
惑	waku
惓	ken
惔	tan ten nen en
惕	teki chaku
惖	teki chaku
惘	bou mou
惙	tetsu techi tei
惚	kotsu
惛	kon bin min
惜	seki shaku
惝	shou tou
惞	kin kon
惟	i yui bi
惠	kei e
惡	o aku
惢	sa sui zui ni
惣	sou
惥	you
惧	ku gu
惨	san zan
惪	toku
惰	da
惱	nou
惲	un kin gin
想	sou so
惴	zui sui
惵	chou jou kyou
惶	kou
惷	shun
惸	kei gyou
惹	ja jaku
惺	sei
惻	soku shoku
惼	hen
惽	kon bin
愀	shou shuu
愁	shuu
愂	botsu hai
愃	ken sen kan
愆	ken
愇	i
愈	yu
愉	yu tou
愊	hyoku hiki fuku
愌	kan gan
愍	bin min
愎	hyoku hiki fuku
意	i
愐	ben men
愑	you yu
愒	kei ketsu kechi kai
愓	tou dou shou you
愔	in an on
愕	gaku
愖	shin jin tan ton
愗	bou mo
愙	kaku
愚	gu
愛	ai
愜	kyou
愞	zen nen ta na
感	kan
愠	un on
愡	sou su
愢	sai shi
愧	ki
愨	kaku
愪	un in
愫	so
愬	so saku
愰	kau ou
愱	shitsu shichi
愴	sou
愵	deki nyaku
愶	kyou kou
愷	kai gai
愹	you
愼	shin
愽	haku
愾	ki gai kitsu
愿	gen
慁	kon gon
慂	you yu
慄	ritsu
慅	sou shou
慆	tou
慇	in
慈	ji
慉	kin kyou
慊	ken kyou
態	tai
慌	kou
慍	un on
慎	shin
慓	hyou
慕	bo
慘	san zan
慙	zan
慚	zan
慝	toku
慞	shou
慟	dou tou
慠	gou
慢	man
慣	kan
慥	zou sou
慧	kei e
慨	gai kai
慫	shou
慬	kin gon kon
慭	gin kin
慮	ryo roku
慯	shou
慰	i
慱	tan dan sen
慲	ban man
慳	kan ken
慴	shou shuu
慵	you shou
慶	kei kyou
慷	kou
慸	tei dai sei tai
慻	ken
慼	seki shaku shuku
慾	yoku
慿	hyou
憀	ryou ryuu ru
憁	sou
憂	yuu
憃	tou shou shu chou chu
憄	chi
憇	kei
憊	hai hei
憋	hetsu hechi
憍	kyou
憎	zou
憐	ren
憑	hyou
憒	kai gai
憓	kei e
憔	shou
憖	gin kin
憗	gin kin
憘	ki
憙	ki shi
憚	tan ta dan
憜	ta da
憝	tai zui dai
憟	shoku soku
憠	ketsu
憤	fun
憥	rou
憧	dou shou tou
憨	kan gan
憩	kei
憪	kan gen
憫	bin min
憬	kei
憭	ryou
憮	bu ko
憲	ken
憶	oku
憸	sen ken
憹	dou nu nyou nou
憺	tan
憼	kei kyou kou
憾	kan
懀	wai e watsu wachi
懁	ken kan gen
懂	tou tsu
懃	kin gon
懆	sou
懇	kon
懈	kai ke
應	you ou
懊	ou
懋	bou
懌	eki
懍	rin ran
懎	shoku shiki
懏	shun
懐	kai
懔	rin ran
懕	en you
懜	bou mou mu
懝	gai gi gyoku goki
懞	bou mu
懟	tsui zui tai
懡	ba ma
懢	ran kan gen
懣	mon man
懤	chyuu jiu tau tou
懦	da ju zen
懧	da ju zen
懩	you
懬	kou kau
懭	kou
懯	fu
懲	chou
懴	zan san
懶	ran rai
懷	kai
懸	ken ke
懺	zan san
懼	ku gu
懽	kan
懾	shou
懿	i
戀	ren
戁	dan nen zen
戃	tou shou
戄	kyaku shou
戇	tou chuu shu kou ku
戈	ka
戉	etsu
戊	bo bou
戌	jutsu
戍	ju shu
戎	juu
成	sei jou
我	ga
戒	kai
戓	ka
戔	san sen zan
戕	shou zou san sou
或	waku iki
戚	seki soku
戛	katsu
戜	tetsu dechi
戝	zoku
戞	katsu
戟	geki
戠	shoku shiki shi
戡	kan chin
戢	shuu
戣	ki gi
戦	sen
戧	sou
戩	sen
截	setsu
戫	yoku iki
戮	riku ryuu
戯	gi ki
戰	sen
戱	gi ki
戲	gi ge ki
戳	taku
戴	tai
戵	gu
戶	ko
户	ko
戸	ko
戹	aku seku
戻	rei rai
戼	bou
戽	ko go ku
戾	rei rai
房	bou hou
所	sho so
扁	hen han
扂	ten den
扃	kei kyou hen
扄	shou
扅	i
扆	i e
扇	sen
扈	ko
扉	hi
手	shu
扌	shu
才	sai zai
扎	satsu atsu
扐	roku ryoku riki
扑	hoku haku hou fu
扒	hai hatsu hachi
打	da tei
扔	jou nyou
払	futsu hotsu
托	taku
扚	chou teki chaku shaku
扛	kou
扜	u ku
扞	kan
扠	sa
扣	kou
扤	gotsu gochi getsu gachi
扭	juu nyu chuu chu
扮	fun han hen
扯	ta sha
扱	sou
扳	han
扶	fu ho
批	hi hei
扺	tei
扼	aku yaku
扽	ton
找	ka ge sou
承	shou sou
技	gi
抂	kyou gou
抃	ben
抄	shou
抈	getsu
抉	ketsu
把	ha
抍	shou jou
抎	un in
抏	gan
抐	dotsu nachi don son dou
抑	yoku
抒	jo sho
抓	sou
抔	hou hai
投	tou
抖	tou to
抗	kou
折	setsu
抛	hou
抜	batsu hatsu
択	taku
抦	hei hyou
抨	hou hyou byou
披	hi
抬	tai dai
抱	hou
抳	ji ni dei nai
抵	tei
抶	chitsu chichi
抷	hi bi
抹	matsu
抺	bai me mai
抻	shin
押	ou
抽	chuu
抾	kyo ko kyou kou
抿	bin min
拂	futsu hotsu hitsu
拄	chu
担	tan
拆	taku seki
拇	bo bou
拈	den sen nen
拉	ratsu rou
拊	fu
拋	hou
拌	han
拍	haku hyou
拎	rei ryou
拏	da na
拐	kai
拑	kan ken
拒	kyo ku
拓	taku seki
拔	batsu hatsu hai
拕	ta da i
拖	ta da i
拗	ou you iku
拘	kou ku
拙	setsu
拚	hen ben fun
招	shou kyou
拜	hai
拝	hai
拠	kyo ko
拡	kaku
拪	sen i
拫	shuu
括	katsu
拭	shiki shoku
拮	kitsu ketsu katsu
拯	jou shou
拱	kyou
拲	kyou ku kyoku koku kiku
拳	ken gen
拴	sen
拵	son
拶	satsu
拷	gou kou
拼	hou hei hyou
拽	ei etsu echi sei
拾	shuu juu
拿	da na
持	ji chi
挂	kei kai ke
挃	chitsu jichi tetsu dechi
挄	kou kaku
指	shi
挈	ketsu kei
按	an
挊	rou
挋	shin kin kon
挌	kaku
挍	kou kyou
挐	da jo
挑	chou tou
挓	ta
挖	atsu achi
挙	kyo
挟	kyou shou
挧	ku
挨	ai
挩	tatsu tachi sei ei
挪	da na
挫	za sa
挭	kou kyou
振	shin
挵	rou ru
挶	kyoku koku
挹	yuu ou
挺	tei chou
挼	da na dai nai
挽	ban
挾	kyou shou
挿	sou
捁	kaku kou
捂	go
捃	kun
捄	kyuu gu
捆	kon gon
捉	soku saku
捊	hou bu fuu fu
捋	ratsu rachi retsu rechi
捌	hatsu hachi betsu
捍	kan
捎	sou shou
捏	detsu nechi
捐	en ken
捒	shou shu so su shoku soku
捓	se yo
捔	kaku saku zaku
捕	ho
捗	ho choku
捘	son shun sai
捛	ryo
捜	sou
捝	tatsu tachi sei ei
换	kan
捥	wan utsu uchi
捦	kin gon
捧	hou
捨	sha
捩	retsu rei
捫	mon
捬	fu hou
捭	hai ha hei
据	kyo
捱	gai ge
捲	ken
捴	fun sou
捵	ten chin den nen
捶	sui ta
捷	shou sou
捸	totsu tochi
捺	natsu datsu
捻	nen jou
捼	da na dai nai
捽	sotsu sochi chutsu juchi sai sui
捿	sei
掀	kin ken
掂	ten
掃	sou
掄	ron rin
掇	tatsu tachi tetsu techi setsu sechi
授	ju
掉	tou chou
掊	hou bu fuu
掌	shou
掎	ki ka i
掏	tou
掐	kou kyou
排	hai
掔	kan ken
掕	ryou
掖	eki
掘	kutsu kotsu
掙	sou shou
掚	ryou kazaru
掛	ka kai
掞	en sen
掟	tou tei jou
掠	ryaku ryou
採	sai
探	tan
掣	sei setsu
掤	hyou
接	setsu
掦	teki chaku
控	kou
推	sui
掩	en
措	so
掫	sou shuu
掬	kiku
掭	ten
掮	ken
掯	kou
掲	kei ketsu
掴	kaku
掻	sou
掽	hou hyou
掾	en ten
揀	kan ken
揁	tei chou kou kyou
揃	sen
揄	yu yuu
揅	ken
揆	ki
揈	kou ken kiku
揉	juu
揎	sen
描	byou
提	tei dai
揑	getsu gechi netsu
插	sou
揓	shi
揔	sou su
揕	chin
揖	yuu shuu
揚	you
換	kan
揜	en an on
揠	satsu atsu
握	aku
揣	shi sui tan
揥	tei tai teki chaku
揩	kai katsu
揪	shuu shu
揬	totsu dochi
揭	kei ketsu
揮	ki
揲	setsu zechi chou jou
揳	setsu sechi ketsu kechi katsu
援	en
揵	ken gen gon
揶	ya
揷	sou
揸	sa
揹	hai
揺	you
搆	kou
搉	kaku
搊	shuu shu su
損	son
搏	haku
搐	chiku
搒	hou hyou byou
搓	sa sai
搔	sou
搖	you
搗	tou
搘	shi
搙	nu dou nyou daku joku
搜	sou
搞	kou kyou
搠	saku
搢	shin sen sei sai
搤	aku seku etsu echi
搥	tai tsui zui
搦	jaku daku nyaku
搨	tou
搩	ketsu gechi taku chaku
搪	tou dou
搬	han
搭	tou
搯	tou
搰	kotsu
搴	ken
搵	on
搶	shou
携	kei
搽	ta da
搾	saku
搿	kaku
摂	setsu jou
摇	you
摋	satsu sachi setsu sechi
摎	kyuu ryuu ku
摏	shou shu
摑	kaku
摒	hei hyou
摓	hou bu fuu
摔	shutsu shuchi
摘	teki taku chaku
摚	tou dou chou
摛	chi ri
摜	kan
摝	roku rou ru
摟	rou ru
摠	sou
摡	kai ki ke
摣	sa shia ga na sai se
摧	sai sa sui
摩	ma
摭	seki shaku
摯	shi
摳	kou ku ou u
摴	cho chi
摶	tan sen
摸	mo baku bo
摺	shou rou
摻	san sen shin
摽	hyou byou hou
撃	geki keki
撅	ketsu kachi kei ke
撇	hetsu hechi hei
撈	rou ryou
撏	san zan shin jin
撐	chou
撑	chou
撒	san satsu
撓	dou kou jou
撕	sei sai shi
撘	tou
撙	son
撚	nen
撛	rin
撝	ki i
撞	shu tou dou
撟	kyou kou
撡	sou san
撣	tan dan sen zen
撤	tetsu
撥	hatsu bachi
撦	sha
撨	shou sou su
撩	ryou rou
撫	bu fu
撬	kyou
播	ha
撮	satsu sai
撰	san sen
撲	boku haku hoku
撳	kin
撹	kaku kou
撻	tachi tatsu
撼	kan
撽	kou kyou keki kyaku
撾	ta te ka
撿	ren ken
擁	you
擂	rai
擄	ryo
擅	sen
擇	taku eki
擉	saku taku shoku zoku
擊	geki keki
擋	tou
擌	saku chaku
操	sou
擎	kei gyou
擐	kan gen ken sen
擑	shou setsu
擒	kin
擔	tan ketsu sen
擕	kei
擗	heki byaku hyaku haku
擘	haku heki byaku
據	kyo ko keki
擠	sei sai
擡	tai dai
擢	teki taku
擣	tou chuu
擤	kou kyou
擥	ran
擦	satsu
擧	kyo
擩	ju nyu zui ni
擪	you chou jou nyou ou en
擬	gi
擭	kyo
擯	hin
擰	dou nyou
擱	kaku
擲	teki jaku
擴	kaku
擵	ma
擶	sen
擷	ketsu
擺	hai
擻	sou su
擽	ryaku raku reki
擾	jou
擿	teki jaku chaku
攀	han
攁	you
攄	cho
攅	san
攈	kun kin hi
攉	kaku
攊	fuki ryaku
攏	rou ru
攓	ken
攔	ran
攖	ei you
攘	jou
攙	sen zen shin san
攛	san
攜	kei
攝	setsu shou
攞	ra
攟	kun
攢	san
攣	ren
攤	tan dan da
攦	rei rai shi ri
攩	tou kou ou
攪	kaku kou
攫	kaku
攬	ran
攮	dou nu
支	shi
攰	ki
攱	ki
攴	hoku haku
攵	boku haku hoku
收	shuu
攷	kou
攸	yuu
改	kai
攺	i shi ji
攻	kou
攼	kan gan
攽	han hin
放	hou
政	sei shou
敃	bin min fun
故	ko
敇	saku shaku
效	kou
敉	bi mi hi
敋	kaku kyaku
敍	jo
敎	kyou kou
敏	bin min
敐	shin jin
救	kyuu gu
敒	chin jin shin shou
敔	gyo go
敕	choku
敖	gou
敗	hai bai
敘	jo
教	kyou kou
敝	hei
敞	shou
敟	ten
敠	tatsu tachi setsu sechi
敡	i
敢	kan
散	san
敦	ton dan chou
敧	ki
敩	kou gyou kaku gaku
敪	tatsu tachi setsu sechi
敫	seku kyou keki kyaku
敬	kei kyou
敭	you
敯	bin min kon
数	suu shu su
敲	kou
整	sei
敵	teki
敷	fu
數	suu shu
敺	ku
敻	kei ken
敽	kyou gyou
敿	kyou gyou
斁	eki seku to zu
斂	ren
斃	hei
斅	kou gyou kaku gaku
斆	kou gyou kaku gaku
文	bun mon
斈	gaku
斉	sei sai zai
斊	sei
斌	hin
斎	sai
斐	hi
斑	han
斒	han hen
斕	ran ren
斗	to tou
斘	shou
料	ryou
斛	koku
斜	sha
斝	ka ke
斟	shin
斠	kaku kou kyou
斡	atsu kan
斣	shuku tou tsu shoku soku
斤	kin
斥	seki
斦	gin gon shitsu shichi
斧	fu
斫	shaku
斬	zan san
断	dan
斮	saku shaku
斯	shi
新	shin
斲	taku
斳	kin gon kon
斴	rin
斷	dan
方	hou
於	o yo
施	shi i se
斿	you yo ryuu ru
旁	hou bou
旂	ki ge
旃	sen
旄	bou mou
旅	ryo
旆	hai
旈	ryuu
旉	fu
旋	sen
旌	sei shou
旎	ji ni da
族	zoku sou
旐	chou jou
旒	ryuu
旔	ken kon
旖	i
旗	ki
旘	shi
旙	han
旛	han
旟	yo
无	bu mu
旡	ki ke
既	ki
旣	ki
日	nichi jitsu
旦	tan
旧	kyuu gu
旨	shi
早	sou satsu
旬	jun shun
旭	kyoku
旰	kan
旱	kan
旲	tai dai ei
旴	ku
旵	tan ten
旹	ji
旺	ou
旻	bin min
旾	shun
旿	go
昀	in
昂	kou gou
昃	soku shoku
昄	han ban hen
昆	kon
昇	shou
昈	ko go
昉	hou
昊	kou
昌	shou
昍	ken kan
明	mei myou
昏	kon
昑	kin
昒	kotsu kochi butsu mochi
易	eki i
昔	seki shaku
昕	kin kon ki
昖	en
昜	you
昝	san
昞	hei hyou hou
星	sei shou
映	ei you
昡	ken gen
昢	hotsu hachi hai
昣	shin
昤	rei ryou
春	shun
昦	kou
昧	mai
昨	saku
昩	batsu machi
昪	hen ben
昫	ku kyou
昬	kon
昭	shou
昮	shou ju
是	ze shi
昰	shi
昱	iku
昳	tetsu dechi itsu
昴	bou
昵	jitsu shoku
昶	chou
昷	on
昹	ai
昻	kou gou
昼	chuu
昿	kou
晀	chou
晁	chou
時	ji shi
晃	kou
晄	kou ou
晅	ken kan
晆	kai
晉	shin sen
晊	shitsu shichi
晋	shin
晌	shou
晎	kou ku
晏	an
晑	kyou kou
晒	sai shi
晗	kan gon
晘	kan gen
晙	shun
晚	ban
晛	ken gen den nen
晜	kon ani
晝	chuu
晞	ki
晟	sei jou
晠	sei jou
晡	ho fu
晢	setsu sei
晤	go
晦	kai
晧	kou gou
晨	shin
晩	ban
晪	ten
晫	taku
晬	sai sui
普	fu ho
景	kei ei
晰	seki shaku
晳	seki shaku
晴	sei
晵	kei ken
晶	shou
晷	ki
晸	tei chou
晹	eki seku seki shaku
智	chi
晻	an on en
晼	en on
晾	ryou
晿	shou
暀	ou kyou gou
暁	gyou kyou
暃	hi
暄	ken
暇	ka
暈	un
暉	ki
暋	bin kon
暌	kei ke
暍	etsu ochi atsu achi
暎	ei you
暏	sho
暐	i
暑	sho
暒	sei
暖	dan ken non
暗	an
暘	you
暙	shun
暚	you
暛	sa
暜	fu
暝	mei bei myou
暟	kai
暠	kou
暢	chou
暤	kou gou
暦	reki
暨	ki
暫	zan
暭	kou gou
暮	bo
暱	jitsu nichi
暲	shou
暴	bou baku
暵	kan
暸	ryou
暹	sen
暻	kei kyou
暼	hetsu hechi
暾	ton
暿	ki
曀	ei i
曁	ki
曂	kou ou
曃	tai dai
曄	you
曅	you
曆	reki
曇	don tan
曈	tou tsu
曉	gyou kyou
曌	shou
曎	eki yaku
曏	kyou kou shou
曔	kei gyou
曖	ai
曙	sho
曚	bou mou
曛	kun
曜	you
曝	baku
曟	shin
曠	kou
曡	jou chou
曦	gi ki
曨	rou ru
曩	dou nou
曫	ran ban man ren
曬	sai
曮	gan gon gen
曰	etsu
曱	ou
曲	kyoku
曳	ei
更	kou
曵	ei
曷	katsu
書	sho
曹	sou
曺	sou
曻	shou
曼	ban man
曽	zo sou so
曾	so sou zou
替	tai tei
最	sai
會	kai e
朅	ketsu kechi kochi
朇	hi
月	getsu gatsu
有	yuu u
朋	hou
朌	han
服	fuku
朎	rei ryou
朏	hi hai hotsu
朐	kyou ku
朒	niku jiku
朓	chou
朔	saku
朕	chin jin
朖	rou
朗	rou
朘	sen
朙	mei myou
望	bou mou
朜	ton
朝	chou
朞	ki
期	ki go
朠	ei you
朢	bou mou
朦	bou mou
朧	rou
木	boku moku
朩	tou
未	mi bi
末	matsu batsu
本	hon
札	satsu
朮	jutsu shutsu chutsu
术	jutsu shutsu chutsu
朱	shu
朳	hatsu hachi hechi hetsu
朴	boku hoku
朵	da ta
朶	da ta
朷	tou boku moku
朸	ryoku
机	ki
朽	kyuu
朾	tou jou tei chou
朿	shi
杅	u
杆	kan
杇	o u ko go
杈	sa sha sai
杉	san
杌	gotsu gochi gutsu guchi
李	ri
杏	kyou kou
材	zai
村	son
杓	hyou teki shaku
杔	taku chaku
杕	tei dai ta da
杖	jou
杙	yoku
杜	do to zu
杝	chi ji shi i
杞	ko ki
束	soku
杠	kou
条	jou
来	rai
杧	man
杪	byou shou
杬	gen gan
杭	kou
杮	hai
杯	hai
杰	ketsu gechi
東	tou
杲	kou
杳	you
杴	ken kon
杵	sho
杶	chun
杷	ha
杻	chuu chu shuu nyu
杼	cho sho
松	shou
板	han ban
极	kyou gou
构	kou
枅	kei ken
枇	hi bi
枉	ou
枋	hou hei
枌	fun
枎	fu bu
枏	dan nan zen nen
析	seki shaku
枑	ko go
枓	shu tou tsu
枕	chin
枖	you
林	rin
枘	zei nei don non
枙	ga aku yaku
枚	mai bai
枛	sou shou
果	ka ra
枝	shi ki
枢	suu shu
枦	ro
枩	shou
枯	ko
枰	hei byou
枱	i shi ji
枲	shi
枳	ki shi
枴	kai tai ke
枵	kyou
架	ka
枷	ka
枸	ku kou
枹	hou fu
枻	ei setsu sechi
枼	you
枽	sou you
枾	shi
柀	hi
柁	ta da
柂	i ri ta da
柃	rei ryou
柄	hei hyou
柅	ji ni
柆	rou
柈	han ban
柉	han bon hen ben
柊	shuu
柎	fu
柏	haku
某	bou bai
柑	kan
柒	shitsu shichi
染	sen
柔	nyuu juu
柗	shou
柘	sha
柙	kou gou ou you
柚	yuu jiku
柜	kyo ko ku
柝	taku
柞	saku
柡	ei you
柢	tei
柤	sa sho so
查	sa
柦	tan dan
柧	ko ka ku
柩	kyuu
柬	kan ken
柮	totsu jutsu datsu
柯	ka
柰	na dai
柱	chuu
柲	hi hitsu bichi
柳	ryuu
柴	sai shi
柵	saku san
柶	shi
柷	shuku
柹	shi
査	sa
柾	kyuu
柿	shi
栄	ei you
栅	saku san
栈	san sen
栓	sen
栔	kei ketsu kechi
栖	sei
栗	ritsu
栙	kou gou
栝	ten katsu kachi
栞	kan
栟	hei hyuu hin
校	kou kyou
栢	haku hyaku
栧	ei setsu sechi
栨	setsu sechi shi
栩	ku u
株	chu shu
栫	son sen
栬	sei se
栭	ji ni
栯	iku you u
栰	hatsu bochi
栱	kyou ku
栲	gou kou
栳	rou
栴	sen
核	kaku
根	kon
栻	choku chiki shoku shiki
格	kou kaku kyaku
栽	sai
栿	fuku buku
桀	ketsu
桁	kou
桂	kei
桃	tou
桄	kou
桅	gai
框	kyou
案	an
桊	ken
桌	taku
桍	ko ku
桎	shitsu
桐	dou tou
桑	sou
桒	sou
桓	kan gan
桔	kitsu ketsu
桕	kyuu
桗	ta ne
桘	tsui sui
桙	u bou
桜	ou you
桟	san sen
档	tou
桧	kai
桫	sa
桮	hai
桯	tei chou kei gyou
桰	katsu kachi
桱	kei kyou
桲	hotsu bochi
桴	fu
桵	zui ni
桶	tou you
桷	kaku
桹	rou
桺	ryuu
桻	hou fu
桼	shitsu
桾	kun
桿	kan gan
梁	ryou
梂	kyuu gu kyoku koku
梃	tei chou
梄	you yu
梅	bai
梆	hou
梈	hou hyou
梍	sou zou
梎	ou yuu you
梏	koku kaku
梓	shi
梔	shi
梖	hai
梗	kou kyou
梘	ken kan
梚	ban man
梛	da na
梜	kyou kou
條	jou chou deki
梟	kyou
梠	ryo
梡	kan gan kon gon
梢	shou
梣	shin
梥	shou
梦	mu
梧	go
梨	ri
梩	ri shi ji
梪	tou zu
梭	sa
梮	kiku koku kyoku
梯	tei tai
械	kai
梱	kon
梲	setsu sechi tatsu tachi
梳	so
梵	fuu bon
梶	bi
梹	bin hin
梼	tou
棁	setsu sechi tatsu tachi
棄	ki
棅	hei hyou
棆	rin
棈	sen sei shou
棉	men
棊	ki gi
棋	ki gi
棌	sai
棍	kon
棏	toku doku taku chaku
棐	hi bi
棑	hai bai
棒	bou hou
棓	hou bou
棔	kon
棕	shu sou
棖	tou jou
棗	sou
棘	kyoku
棙	rei rai retsu rechi
棚	hou
棜	yo o
棝	ko ku
棟	tou
棠	tou dou
棡	kou
棣	tei tai
棥	han bon
棧	san sen
棨	kei ken
棪	en sen
棫	yoku iki iku
棬	ken kan
棭	eki yoku
森	shin
棯	jin den shin
棰	soi ta
棱	rou ryou chou
棲	sei
棵	kan ka
棶	rai
棹	tou taku
棺	kan
棼	fun bun
棽	chin shin rin
椀	wan
椁	kaku
椄	setsu shou
椅	i
椆	chuu ju shuu shu
椈	kiku koku
椉	jou
椊	sotsu satsu sui
椋	ryou
椌	kou kyou ku
植	shoku chi
椎	tsui sui
椏	a
椐	kyo ko
椑	hei bai
椒	shou
椓	taku
椖	hou
椗	tei
検	ken
椢	kai ke
椦	ken
椰	ya
椱	fuu bu fuku buku
椳	wai gai
椴	tan dan
椵	ka ke ge
椶	shu sou
椸	i
椹	chin jin
椻	en
椽	ten
椿	chin chun
楂	sa ja
楅	hyoku hiki fuku
楉	jaku nyaku
楊	you
楎	kon gon ki kun
楓	fuu
楔	setsu ketsu
楕	da
楗	ken gon
楙	bou mu
楚	so
楛	ko go
楜	ko go
楝	ren
楞	rou ryou
楠	nan
楡	yu
楢	shuu yuu
楣	bi mi
楤	sou
楥	ken kan en
楦	ken
楨	tei chou
楩	hen ben
楪	you chou shou
楫	shuu shou
楬	ketsu gechi
業	gyou gou
楮	cho
楯	jun
楰	yu gyo go
楱	sou su
楲	i
楳	bai
楴	tei chi shi
極	goku kyoku goki
楷	kai
楸	shuu
楹	ei
楺	juu nyu
楻	kou ou
楼	rou
楽	gaku raku
概	gai kai
榅	otsu ochi un
榆	yu
榍	setsu
榎	ka
榑	fu
榒	doku nyaku
榔	rou
榕	you
榖	koku kou ku
榘	ku
榛	shin
榜	bou hou
榠	bei myou
榡	so
榥	kou ou
榦	kan
榧	hi
榨	sa sha sai saku
榫	shun
榭	sha ja
榮	ei you
榯	shi
榱	sui
榲	otsu ochi un
榴	ryuu
榷	kaku kou kyou
榸	tai
榺	shou
榻	tou
榼	kou
榾	kotsu
榿	ki kai gai
槁	kou
槃	han ban
槅	kaku kyaku
槇	ten shin
槈	dou nu
槊	saku
構	kou
槌	tsui
槍	sou shou
槎	sa
槐	kai
槑	bai
槓	kou
槖	taku
槗	kyou
様	you shou
槙	ten shin
槝	tou
槞	rou
槢	shuu juu chou jou
槥	ei e sei
槧	san zan sen
槨	kaku
槪	gai kai
